DISKBSIZE,Disk Block Size VM-12-13-centos,vda,vda1,sr0
DISKBSIZE,T0851,14.7,14.7,0.0
DISKBSIZE,T0852,5.9,5.9,0.0
DISKBSIZE,T0853,21.3,21.3,0.0
DISKBSIZE,T0854,10.0,10.0,0.0
DISKBSIZE,T0855,15.2,15.2,0.0
DISKBSIZE,T0856,9.8,9.8,0.0
DISKBSIZE,T0857,24.0,24.0,0.0
DISKBSIZE,T0858,9.6,9.7,0.0
DISKBSIZE,T0859,6.3,6.3,0.0
DISKBSIZE,T0860,9.5,9.5,0.0
DISKBSIZE,T0861,21.3,21.3,0.0
DISKBSIZE,T0862,9.8,9.8,0.0
DISKBSIZE,T0863,26.0,26.0,0.0
DISKBSIZE,T0864,6.8,6.8,0.0
DISKBSIZE,T0865,14.4,14.4,0.0
DISKBSIZE,T0866,8.2,8.2,0.0
DISKBSIZE,T0867,12.0,12.0,0.0
DISKBSIZE,T0868,9.7,9.7,0.0
DISKBSIZE,T0869,12.6,12.6,0.0
DISKBSIZE,T0870,10.2,10.2,0.0
DISKBSIZE,T0871,12.4,12.4,0.0
DISKBSIZE,T0872,10.3,10.3,0.0
DISKBSIZE,T0873,7.0,7.0,0.0
DISKBSIZE,T0874,9.4,9.4,0.0
DISKBSIZE,T0875,17.0,17.0,0.0
DISKBSIZE,T0876,6.1,6.1,0.0
DISKBSIZE,T0877,44.0,44.0,0.0
DISKBSIZE,T0878,9.7,9.7,0.0
DISKBSIZE,T0879,22.0,22.0,0.0
DISKBSIZE,T0880,8.1,8.1,0.0
DISKBSIZE,T0881,17.3,17.3,0.0
DISKBSIZE,T0882,9.8,9.8,0.0
DISKBSIZE,T0883,20.0,20.0,0.0
DISKBSIZE,T0884,9.8,9.8,0.0
DISKBSIZE,T0885,0.0,0.0,0.0
DISKBSIZE,T0886,10.4,10.4,0.0
DISKBSIZE,T0887,6.6,6.6,0.0
DISKBSIZE,T0888,6.2,6.2,0.0
DISKBSIZE,T0889,12.0,12.0,0.0
DISKBSIZE,T0890,10.0,10.0,0.0
DISKBSIZE,T0891,12.7,12.7,0.0
DISKBSIZE,T0892,9.8,9.8,0.0
DISKBSIZE,T0893,12.9,12.9,0.0
DISKBSIZE,T0894,8.0,8.0,0.0
DISKBSIZE,T0895,11.7,11.7,0.0
DISKBSIZE,T0896,9.5,9.5,0.0
DISKBSIZE,T0897,16.0,16.0,0.0
DISKBSIZE,T0898,9.8,9.8,0.0
DISKBSIZE,T0899,24.0,24.0,0.0
DISKBSIZE,T0900,7.2,7.2,0.0
DISKBSIZE,T0901,6.3,6.3,0.0
DISKBSIZE,T0902,9.3,9.3,0.0
DISKBSIZE,T0903,18.7,18.7,0.0
DISKBSIZE,T0904,9.8,9.8,0.0
DISKBSIZE,T0905,20.0,20.0,0.0
DISKBSIZE,T0906,10.9,10.9,0.0
DISKBSIZE,T0907,5.1,5.1,0.0
DISKBSIZE,T0908,9.1,9.1,0.0
DISKBSIZE,T0909,12.9,12.9,0.0
DISKBSIZE,T0910,9.8,9.8,0.0
DISKBSIZE,T0911,12.0,12.0,0.0
DISKBSIZE,T0912,9.3,9.3,0.0
DISKBSIZE,T0913,12.4,12.4,0.0
DISKBSIZE,T0914,8.6,8.6,0.0
DISKBSIZE,T0915,11.7,11.7,0.0
DISKBSIZE,T0916,9.6,9.6,0.0
DISKBSIZE,T0917,24.0,24.0,0.0
DISKBSIZE,T0918,9.7,9.9,0.0
DISKBSIZE,T0919,24.0,24.0,0.0
DISKBSIZE,T0920,9.7,9.7,0.0
DISKBSIZE,T0921,8.2,8.2,0.0
DISKBSIZE,T0922,9.9,9.9,0.0
DISKBSIZE,T0923,24.0,24.0,0.0
DISKBSIZE,T0924,9.7,9.7,0.0
DISKBSIZE,T0925,5.2,5.2,0.0
DISKBSIZE,T0926,9.8,9.8,0.0
DISKBSIZE,T0927,24.0,24.0,0.0
DISKBSIZE,T0928,8.1,8.1,0.0
DISKBSIZE,T0929,11.3,11.3,0.0
DISKBSIZE,T0930,10.3,10.3,0.0
DISKBSIZE,T0931,14.2,14.2,0.0
DISKBSIZE,T0932,9.9,9.9,0.0
DISKBSIZE,T0933,12.4,12.4,0.0
DISKBSIZE,T0934,9.7,9.7,0.0
DISKBSIZE,T0935,8.2,8.2,0.0
DISKBSIZE,T0936,9.2,9.2,0.0
DISKBSIZE,T0937,5.1,5.1,0.0
DISKBSIZE,T0938,9.6,9.6,0.0
DISKBSIZE,T0939,28.0,28.0,0.0
DISKBSIZE,T0940,9.6,9.6,0.0
DISKBSIZE,T0941,24.0,24.0,0.0
DISKBSIZE,T0942,8.9,8.9,0.0
DISKBSIZE,T0943,14.7,14.7,0.0
DISKBSIZE,T0944,9.9,9.9,0.0
DISKBSIZE,T0945,26.0,26.0,0.0
DISKBSIZE,T0946,9.6,9.6,0.0
DISKBSIZE,T0947,24.0,24.0,0.0
DISKBSIZE,T0948,9.8,9.8,0.0
DISKBSIZE,T0949,5.9,5.9,0.0
DISKBSIZE,T0950,9.1,9.1,0.0
DISKBSIZE,T0951,12.0,12.0,0.0
DISKBSIZE,T0952,9.8,9.8,0.0
DISKBSIZE,T0953,12.4,12.4,0.0
