JFSFILE,JFS Filespace %Used VM-12-13-centos,/dev,/run,/
JFSFILE,T0045,0.0,0.0,9.6
JFSFILE,T0046,0.0,0.0,9.6
JFSFILE,T0047,0.0,0.0,9.6
JFSFILE,T0048,0.0,0.0,9.6
JFSFILE,T0049,0.0,0.0,9.6
JFSFILE,T0050,0.0,0.0,9.6
JFSFILE,T0051,0.0,0.0,9.6
JFSFILE,T0052,0.0,0.0,9.6
JFSFILE,T0053,0.0,0.0,9.6
JFSFILE,T0054,0.0,0.0,9.6
JFSFILE,T0055,0.0,0.0,9.6
JFSFILE,T0056,0.0,0.0,9.6
JFSFILE,T0057,0.0,0.0,9.6
JFSFILE,T0058,0.0,0.0,9.6
JFSFILE,T0059,0.0,0.0,9.6
JFSFILE,T0060,0.0,0.0,9.6
JFSFILE,T0061,0.0,0.0,9.6
JFSFILE,T0062,0.0,0.0,9.6
JFSFILE,T0063,0.0,0.0,9.6
JFSFILE,T0064,0.0,0.0,9.6
JFSFILE,T0065,0.0,0.0,9.6
JFSFILE,T0066,0.0,0.0,9.6
JFSFILE,T0067,0.0,0.0,9.6
JFSFILE,T0068,0.0,0.0,9.6
JFSFILE,T0069,0.0,0.0,9.6
JFSFILE,T0070,0.0,0.0,9.6
JFSFILE,T0071,0.0,0.0,9.6
JFSFILE,T0072,0.0,0.0,9.6
JFSFILE,T0073,0.0,0.0,9.6
JFSFILE,T0074,0.0,0.0,9.6
JFSFILE,T0075,0.0,0.0,9.6
JFSFILE,T0076,0.0,0.0,9.6
JFSFILE,T0077,0.0,0.0,9.6
JFSFILE,T0078,0.0,0.0,9.6
JFSFILE,T0079,0.0,0.0,9.6
JFSFILE,T0080,0.0,0.0,9.6
JFSFILE,T0081,0.0,0.0,9.6
JFSFILE,T0082,0.0,0.0,9.6
JFSFILE,T0083,0.0,0.0,9.6
JFSFILE,T0084,0.0,0.0,9.6
JFSFILE,T0085,0.0,0.0,9.6
JFSFILE,T0086,0.0,0.0,9.6
JFSFILE,T0087,0.0,0.0,9.6
JFSFILE,T0088,0.0,0.0,9.6
JFSFILE,T0089,0.0,0.0,9.6
JFSFILE,T0090,0.0,0.0,9.6
JFSFILE,T0091,0.0,0.0,9.6
JFSFILE,T0092,0.0,0.0,9.6
JFSFILE,T0093,0.0,0.0,9.6
JFSFILE,T0094,0.0,0.0,9.6
JFSFILE,T0095,0.0,0.0,9.6
JFSFILE,T0096,0.0,0.0,9.6
JFSFILE,T0097,0.0,0.0,9.6
JFSFILE,T0098,0.0,0.0,9.6
JFSFILE,T0099,0.0,0.0,9.6
JFSFILE,T0100,0.0,0.0,9.6
JFSFILE,T0101,0.0,0.0,9.6
JFSFILE,T0102,0.0,0.0,9.6
JFSFILE,T0103,0.0,0.0,9.6
