PROC,Processes VM-12-13-centos,Runnable,Blocked,pswitch,syscall,read,write,fork,exec,sem,msg
PROC,T0191,1,0,1105.6,-1.0,-1.0,-1.0,5.2,-1.0,-1.0,-1.0
PROC,T0192,1,0,1301.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0193,1,0,1033.7,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0194,1,0,1232.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0195,1,0,1141.7,-1.0,-1.0,-1.0,2.4,-1.0,-1.0,-1.0
PROC,T0196,1,0,1293.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0197,1,0,1065.6,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0198,2,0,1335.2,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0199,1,0,1096.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0200,1,0,1354.3,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0201,1,0,1188.9,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0202,1,0,1328.7,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0203,1,0,1145.0,-1.0,-1.0,-1.0,4.6,-1.0,-1.0,-1.0
PROC,T0204,1,0,1258.3,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0205,1,0,1094.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0206,1,0,1276.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0207,1,0,1141.2,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0208,1,0,1239.6,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0209,1,0,1072.4,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0210,1,0,1420.7,-1.0,-1.0,-1.0,11.4,-1.0,-1.0,-1.0
PROC,T0211,1,0,1087.2,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0212,3,0,3028.7,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0213,1,0,1585.3,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0214,1,0,1509.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0215,1,0,1141.6,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0216,1,0,1331.2,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0217,1,0,1072.1,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0218,1,0,1268.4,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0219,1,0,1116.3,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0220,1,0,1282.2,-1.0,-1.0,-1.0,8.8,-1.0,-1.0,-1.0
PROC,T0221,1,0,1116.6,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0222,1,0,1304.0,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
PROC,T0223,1,0,1082.8,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0224,1,0,1286.1,-1.0,-1.0,-1.0,7.2,-1.0,-1.0,-1.0
PROC,T0225,1,0,1168.9,-1.0,-1.0,-1.0,2.6,-1.0,-1.0,-1.0
PROC,T0226,1,0,1292.1,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0227,1,0,1107.4,-1.0,-1.0,-1.0,4.2,-1.0,-1.0,-1.0
PROC,T0228,1,0,1318.0,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0229,1,0,1119.9,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0230,1,0,1532.5,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0231,1,0,1103.6,-1.0,-1.0,-1.0,2.0,-1.0,-1.0,-1.0
PROC,T0232,1,0,1298.9,-1.0,-1.0,-1.0,6.4,-1.0,-1.0,-1.0
PROC,T0233,1,0,1064.5,-1.0,-1.0,-1.0,1.8,-1.0,-1.0,-1.0
PROC,T0234,1,0,1398.7,-1.0,-1.0,-1.0,8.6,-1.0,-1.0,-1.0
