DISKXFER,Disk transfers per second VM-12-13-centos,vda,vda1,sr0
DISKXFER,T0307,2.2,2.2,0.0
DISKXFER,T0308,9.8,9.8,0.0
DISKXFER,T0309,0.0,0.0,0.0
DISKXFER,T0310,8.4,8.4,0.0
DISKXFER,T0311,2.0,2.0,0.0
DISKXFER,T0312,9.6,9.6,0.0
DISKXFER,T0313,16.8,16.8,0.0
DISKXFER,T0314,9.8,9.8,0.0
DISKXFER,T0315,2.2,2.2,0.0
DISKXFER,T0316,8.0,8.0,0.0
DISKXFER,T0317,2.2,2.2,0.0
DISKXFER,T0318,13.6,13.6,0.0
DISKXFER,T0319,2.2,2.2,0.0
DISKXFER,T0320,8.0,8.0,0.0
DISKXFER,T0321,0.4,0.4,0.0
DISKXFER,T0322,9.8,9.8,0.0
DISKXFER,T0323,0.4,0.4,0.0
DISKXFER,T0324,21.0,21.0,0.0
DISKXFER,T0325,4.6,4.6,0.0
DISKXFER,T0326,9.8,9.8,0.0
DISKXFER,T0327,0.4,0.4,0.0
DISKXFER,T0328,9.8,9.8,0.0
DISKXFER,T0329,0.4,0.4,0.0
DISKXFER,T0330,11.4,11.4,0.0
DISKXFER,T0331,24.2,24.2,0.0
DISKXFER,T0332,15.6,15.6,0.0
DISKXFER,T0333,1.8,1.8,0.0
DISKXFER,T0334,8.4,8.4,0.0
DISKXFER,T0335,1.8,1.8,0.0
DISKXFER,T0336,9.4,9.4,0.0
DISKXFER,T0337,2.6,2.6,0.0
DISKXFER,T0338,8.0,8.0,0.0
DISKXFER,T0339,6.4,6.4,0.0
DISKXFER,T0340,8.0,8.0,0.0
DISKXFER,T0341,2.2,2.2,0.0
DISKXFER,T0342,8.8,8.8,0.0
DISKXFER,T0343,17.0,17.0,0.0
DISKXFER,T0344,10.0,10.0,0.0
DISKXFER,T0345,0.4,0.4,0.0
DISKXFER,T0346,10.2,10.2,0.0
DISKXFER,T0347,5.0,5.0,0.0
DISKXFER,T0348,10.2,10.2,0.0
DISKXFER,T0349,0.4,0.4,0.0
DISKXFER,T0350,9.8,9.8,0.0
DISKXFER,T0351,0.4,0.4,0.0
DISKXFER,T0352,9.8,9.8,0.0
DISKXFER,T0353,3.4,3.4,0.0
DISKXFER,T0354,10.0,10.0,0.0
DISKXFER,T0355,2.2,2.2,0.0
DISKXFER,T0356,8.4,8.4,0.0
DISKXFER,T0357,1.8,1.8,0.0
DISKXFER,T0358,8.6,8.6,0.0
DISKXFER,T0359,2.2,2.2,0.0
DISKXFER,T0360,23.6,23.6,0.0
DISKXFER,T0361,3.4,3.4,0.0
DISKXFER,T0362,8.0,8.0,0.0
DISKXFER,T0363,2.2,2.2,0.0
DISKXFER,T0364,8.0,8.0,0.0
DISKXFER,T0365,0.4,0.4,0.0
DISKXFER,T0366,11.8,11.6,0.0
DISKXFER,T0367,5.2,5.2,0.0
DISKXFER,T0368,10.6,10.6,0.0
DISKXFER,T0369,0.8,0.8,0.0
DISKXFER,T0370,12.2,12.2,0.0
DISKXFER,T0371,0.4,0.4,0.0
DISKXFER,T0372,18.2,18.2,0.0
DISKXFER,T0373,0.2,0.2,0.0
DISKXFER,T0374,11.4,11.4,0.0
DISKXFER,T0375,2.8,2.8,0.0
DISKXFER,T0376,8.6,8.6,0.0
DISKXFER,T0377,1.8,1.8,0.0
DISKXFER,T0378,9.0,9.0,0.0
DISKXFER,T0379,1.8,1.8,0.0
DISKXFER,T0380,8.4,8.4,0.0
DISKXFER,T0381,7.0,7.0,0.0
