DISKWRITE,Disk Write KB/s VM-12-13-centos,vda,vda1,sr0
DISKWRITE,T0264,99.1,99.1,0.0
DISKWRITE,T0265,5.6,5.6,0.0
DISKWRITE,T0266,103.9,103.9,0.0
DISKWRITE,T0267,25.6,25.6,0.0
DISKWRITE,T0268,83.1,83.1,0.0
DISKWRITE,T0269,22.4,22.4,0.0
DISKWRITE,T0270,93.5,93.5,0.0
DISKWRITE,T0271,28.8,28.8,0.0
DISKWRITE,T0272,83.9,83.9,0.0
DISKWRITE,T0273,61.5,61.5,0.0
DISKWRITE,T0274,78.3,78.3,0.0
DISKWRITE,T0275,28.8,28.8,0.0
DISKWRITE,T0276,146.2,146.2,0.0
DISKWRITE,T0277,10.4,10.4,0.0
DISKWRITE,T0278,95.1,95.1,0.0
DISKWRITE,T0279,17.6,17.6,0.0
DISKWRITE,T0280,119.9,119.9,0.0
DISKWRITE,T0281,16.0,16.0,0.0
DISKWRITE,T0282,106.3,106.3,0.0
DISKWRITE,T0283,9.6,9.6,0.0
DISKWRITE,T0284,95.1,95.1,0.0
DISKWRITE,T0285,9.6,9.6,0.0
DISKWRITE,T0286,103.1,103.1,0.0
DISKWRITE,T0287,26.4,26.4,0.0
DISKWRITE,T0288,134.3,134.3,0.0
DISKWRITE,T0289,24.0,24.0,0.0
DISKWRITE,T0290,83.1,83.1,0.0
DISKWRITE,T0291,22.4,22.4,0.0
DISKWRITE,T0292,80.7,80.7,0.0
DISKWRITE,T0293,51.9,51.9,0.0
DISKWRITE,T0294,143.1,143.1,0.0
DISKWRITE,T0295,27.2,27.2,0.0
DISKWRITE,T0296,77.5,77.5,0.0
DISKWRITE,T0297,56.7,56.7,0.0
DISKWRITE,T0298,77.5,77.5,0.0
DISKWRITE,T0299,9.6,9.6,0.0
DISKWRITE,T0300,121.4,121.4,0.0
DISKWRITE,T0301,9.6,9.6,0.0
DISKWRITE,T0302,95.9,95.9,0.0
DISKWRITE,T0303,10.4,10.4,0.0
DISKWRITE,T0304,96.7,96.7,0.0
DISKWRITE,T0305,9.6,9.6,0.0
DISKWRITE,T0306,126.3,126.3,0.0
DISKWRITE,T0307,28.0,28.0,0.0
DISKWRITE,T0308,95.1,95.1,0.0
DISKWRITE,T0309,0.0,0.0,0.0
DISKWRITE,T0310,82.3,82.3,0.0
DISKWRITE,T0311,23.2,23.2,0.0
DISKWRITE,T0312,90.3,90.3,0.0
DISKWRITE,T0313,86.3,86.3,0.0
DISKWRITE,T0314,100.7,100.7,0.0
DISKWRITE,T0315,28.0,28.0,0.0
DISKWRITE,T0316,77.5,77.5,0.0
DISKWRITE,T0317,27.2,27.2,0.0
DISKWRITE,T0318,111.1,111.1,0.0
DISKWRITE,T0319,27.2,27.2,0.0
DISKWRITE,T0320,76.7,76.7,0.0
DISKWRITE,T0321,10.4,10.4,0.0
DISKWRITE,T0322,93.5,93.5,0.0
DISKWRITE,T0323,9.6,9.6,0.0
DISKWRITE,T0324,153.4,153.4,0.0
DISKWRITE,T0325,40.0,40.0,0.0
DISKWRITE,T0326,96.7,96.7,0.0
DISKWRITE,T0327,9.6,9.6,0.0
DISKWRITE,T0328,94.3,94.3,0.0
DISKWRITE,T0329,9.6,9.6,0.0
DISKWRITE,T0330,116.7,116.7,0.0
DISKWRITE,T0331,105.5,105.5,0.0
DISKWRITE,T0332,124.7,124.7,0.0
DISKWRITE,T0333,23.2,23.2,0.0
DISKWRITE,T0334,83.1,83.1,0.0
DISKWRITE,T0335,21.6,21.6,0.0
DISKWRITE,T0336,91.9,91.9,0.0
DISKWRITE,T0337,36.0,36.0,0.0
DISKWRITE,T0338,76.7,76.7,0.0
DISKWRITE,T0339,51.1,51.1,0.0
DISKWRITE,T0340,78.3,78.3,0.0
DISKWRITE,T0341,27.2,27.2,0.0
DISKWRITE,T0342,88.7,88.7,0.0
DISKWRITE,T0343,92.7,92.7,0.0
DISKWRITE,T0344,94.3,94.3,0.0
DISKWRITE,T0345,10.4,10.4,0.0
DISKWRITE,T0346,97.5,97.5,0.0
DISKWRITE,T0347,38.4,38.4,0.0
DISKWRITE,T0348,99.9,99.9,0.0
DISKWRITE,T0349,9.6,9.6,0.0
DISKWRITE,T0350,93.5,93.5,0.0
