ZZZZ,taskId,date,day,full_time
ZZZZ,T0124,10:57:54,04-JUN-2023,2023-06-04 10:57:54
ZZZZ,T0125,10:57:59,04-JUN-2023,2023-06-04 10:57:59
ZZZZ,T0126,10:58:04,04-JUN-2023,2023-06-04 10:58:04
ZZZZ,T0127,10:58:09,04-JUN-2023,2023-06-04 10:58:09
ZZZZ,T0128,10:58:14,04-JUN-2023,2023-06-04 10:58:14
ZZZZ,T0129,10:58:19,04-JUN-2023,2023-06-04 10:58:19
ZZZZ,T0130,10:58:24,04-JUN-2023,2023-06-04 10:58:24
ZZZZ,T0131,10:58:29,04-JUN-2023,2023-06-04 10:58:29
ZZZZ,T0132,10:58:34,04-JUN-2023,2023-06-04 10:58:34
ZZZZ,T0133,10:58:40,04-JUN-2023,2023-06-04 10:58:40
ZZZZ,T0134,10:58:45,04-JUN-2023,2023-06-04 10:58:45
ZZZZ,T0135,10:58:50,04-JUN-2023,2023-06-04 10:58:50
ZZZZ,T0136,10:58:55,04-JUN-2023,2023-06-04 10:58:55
ZZZZ,T0137,10:59:00,04-JUN-2023,2023-06-04 10:59:00
ZZZZ,T0138,10:59:05,04-JUN-2023,2023-06-04 10:59:05
ZZZZ,T0139,10:59:10,04-JUN-2023,2023-06-04 10:59:10
ZZZZ,T0140,10:59:15,04-JUN-2023,2023-06-04 10:59:15
ZZZZ,T0141,10:59:20,04-JUN-2023,2023-06-04 10:59:20
ZZZZ,T0142,10:59:25,04-JUN-2023,2023-06-04 10:59:25
ZZZZ,T0143,10:59:30,04-JUN-2023,2023-06-04 10:59:30
ZZZZ,T0144,10:59:35,04-JUN-2023,2023-06-04 10:59:35
ZZZZ,T0145,10:59:40,04-JUN-2023,2023-06-04 10:59:40
ZZZZ,T0146,10:59:45,04-JUN-2023,2023-06-04 10:59:45
ZZZZ,T0147,10:59:50,04-JUN-2023,2023-06-04 10:59:50
ZZZZ,T0148,10:59:55,04-JUN-2023,2023-06-04 10:59:55
ZZZZ,T0149,11:00:00,04-JUN-2023,2023-06-04 11:00:00
ZZZZ,T0150,11:00:05,04-JUN-2023,2023-06-04 11:00:05
ZZZZ,T0151,11:00:10,04-JUN-2023,2023-06-04 11:00:10
ZZZZ,T0152,11:00:15,04-JUN-2023,2023-06-04 11:00:15
ZZZZ,T0153,11:00:20,04-JUN-2023,2023-06-04 11:00:20
ZZZZ,T0154,11:00:25,04-JUN-2023,2023-06-04 11:00:25
ZZZZ,T0155,11:00:30,04-JUN-2023,2023-06-04 11:00:30
ZZZZ,T0156,11:00:35,04-JUN-2023,2023-06-04 11:00:35
ZZZZ,T0157,11:00:40,04-JUN-2023,2023-06-04 11:00:40
ZZZZ,T0158,11:00:45,04-JUN-2023,2023-06-04 11:00:45
ZZZZ,T0159,11:00:50,04-JUN-2023,2023-06-04 11:00:50
ZZZZ,T0160,11:00:55,04-JUN-2023,2023-06-04 11:00:55
ZZZZ,T0161,11:01:00,04-JUN-2023,2023-06-04 11:01:00
ZZZZ,T0162,11:01:05,04-JUN-2023,2023-06-04 11:01:05
ZZZZ,T0163,11:01:10,04-JUN-2023,2023-06-04 11:01:10
ZZZZ,T0164,11:01:15,04-JUN-2023,2023-06-04 11:01:15
ZZZZ,T0165,11:01:20,04-JUN-2023,2023-06-04 11:01:20
ZZZZ,T0166,11:01:25,04-JUN-2023,2023-06-04 11:01:25
ZZZZ,T0167,11:01:30,04-JUN-2023,2023-06-04 11:01:30
ZZZZ,T0168,11:01:35,04-JUN-2023,2023-06-04 11:01:35
ZZZZ,T0169,11:01:40,04-JUN-2023,2023-06-04 11:01:40
ZZZZ,T0170,11:01:45,04-JUN-2023,2023-06-04 11:01:45
ZZZZ,T0171,11:01:50,04-JUN-2023,2023-06-04 11:01:50
ZZZZ,T0172,11:01:55,04-JUN-2023,2023-06-04 11:01:55
